p_id,Gamer_ID,name,country,Region,team_name,role
142,Chris Luck,Jean Pierre Gonzales Salazar,Peru,South America,Evil Geniuses,Solo Middle
143,Matthew,Farith Jeafehe Puente Huamancaja,Peru,South America,Evil Geniuses,Support
144,Pandaboo,Jose Leonardo Padilla Hernandez,Peru,South America,Evil Geniuses,Support
145,Palos,Jinn Marrey P. Lamatao,Philippines,Southeast Asia,Execration,Carry
146,Kim0,Kimuel Borromeo Rodis,Philippines,Southeast Asia,Execration,Coach
147,March,Park Tae-won,South Korea,Other,Execration,Coach
148,Tino,Justine Ryan Evangelista Grimaldo,Philippines,Southeast Asia,Execration,Offlaner
149,Bob,Mark Anthony A. Urbina,Philippines,Southeast Asia,Execration,Solo Middle
150,BDz,Juan Carlo Chua Manalo,Philippines,Southeast Asia,Execration,Support
151,Shanks,Mark Jubert Redira,Philippines,Southeast Asia,Execration,Support
152,Ax.Mo,Dmitry Morozov,Russia,Europe,EZ KATKA,Offlaner
153,KingR,Rinat Abdullin,Russia,Europe,Fantastic Five,Support
154,BSJ,Brian Canavan,United States,North America,Fart Studios,Carry
155,iAnnihilate,Danny Cote,Canada,North America,Fart Studios,Solo Middle
156,Newsham,Jason Newsham,United States,North America,Fart Studios,Support
157,Berna,Bernardo David Rocca Alarcón,Peru,South America,felt,Carry
158,Fayde,Victor Zuev,United States,North America,felt,Offlaner
159,"solji;,",Boris Khundziya,Russia,Europe,felt,Solo Middle
160,Chen,Chen Yi,United States,North America,felt,Support
161,Shoe,Mykyta Zagrebin,United States,North America,felt,Support
162,Gabbi,Kim Villafuerte Santos,Philippines,Southeast Asia,Fnatic,Carry
163,kpii,Damien Chok Sau-jing,Australia,Other,Fnatic,Offlaner
164,Armel,Armel Paul Luna Tabios,Philippines,Southeast Asia,Fnatic,Solo Middle
165,DJ,Djardel Jicko B. Mampusti,Philippines,Southeast Asia,Fnatic,Support
166,Jaunuel,Jaunuel Arcilla,Philippines,Southeast Asia,Fnatic,Support
167,dyrachyo,Anton Shkredov,Russia,Europe,Gaimin Gladiators,Carry
168,Ace,Marcus Folke Hoelgaard Christensen,Denmark,Europe,Gaimin Gladiators,Offlaner
169,Quinn,Quinn Callahan,United States,North America,Gaimin Gladiators,Solo Middle
170,tOfu,Erik Engel,Germany,Europe,Gaimin Gladiators,Support
171,Seleri,Melchior Hillenkamp,Netherlands,Europe,Gaimin Gladiators,Support
172,skem,Rolen Andrei Gabriel Ong,Philippines,Southeast Asia,Geek Slate,Carry
173,Force,Nikko Bilocura,Philippines,Southeast Asia,Geek Slate,Offlaner
174,Kokz,Joshua H. Maraño,Philippines,Southeast Asia,Geek Slate,Solo Middle
175,Roddgeee,Roger Tan Boon Thye,Malaysia,Southeast Asia,Geek Slate,Support
176,NARMAN,Ravdan Narmandakh,Mongolia,Other,Geek Slate,Support
177,NaoG,Eduardo David Valencia Sánchez,Peru,South America,Gorillaz-Pride,Carry
178,Erice,James Erice Guerra,Philippines,Southeast Asia,GrindSky Esports,Support
179,Grimz,Jomari Anis,Philippines,Southeast Asia,GrindSky Esports,Support
180,KyT,Nitiphat Chutonganan,Thailand,Southeast Asia,Hashtag Dota,Offlaner
181,Daxak,Nikita Kuzmin,Russia,Europe,HellRaisers,Carry
182,MieRo`,Matvey Vasyunin,Russia,Europe,HellRaisers,Offlaner
183,depressed kid,Gleb Zyryanov,Russia,Europe,HellRaisers,Solo Middle
184,Antares,Vladislav Kertman,Russia,Europe,HellRaisers,Support
185,Solo,Alexey Berezin,Russia,Europe,HellRaisers,Support
186,xannii,Arslan Shadzhanov,Russia,Europe,HF,Carry
187,sohy,Aleksey Korenkov,Belarus,Europe,HF,Solo Middle
188,Sehny,Jan Sehnal,Czechia,Other,Hippomaniacs,Support
189,Stizer,Ruslan Sadriev,Russia,Europe,Husky eSports,Solo Middle
190,dream`,Kıyalbek Tayirov,Kyrgyzstan,CIS,HYDRA,Carry
191,TheHeartlessKing,Maxim Fadeev,Ukraine,Europe,HYDRA,Coach
192,Cloud,Alexander Zakharov,Russia,Europe,HYDRA,Offlaner
193,Worick,Vitalij Brezgin,Russia,Europe,HYDRA,Solo Middle
194,HappyDyurara,Sergey Horonzhiy,Belarus,Europe,HYDRA,Support
195,doodle,Lin Zikai,China,China,iG Vitality,Carry
196,ButterflyEffect,Ni Weijie,China,China,iG Vitality,Solo Middle
197,Summer,Tang Kaiwen,China,China,iG Vitality,Solo Middle
198,sj,Wang Sijie,China,China,iG Vitality,Support
199,Mnz,Alonso León,Peru,South America,Infamous,Carry
200,FalcoStyle,Huester Valenzuela,Peru,South America,Infamous,Coach
201,Oscar,Oscar David Chavez Jimenez,Bolivia,South America,Infamous,Offlaner
202,SLATEM$,Jordan Pascasio Vega,Peru,South America,Infamous,Solo Middle
203,sl4d1n-,Alexis Cepeda Sitl Sitl,Ecuador,South America,Infamous,Support
204,Mjz,Romel Quinteros,Peru,South America,Infamous,Support
205,Papita,Mariano Caneda,Argentina,South America,Infinity,Coach
206,Frank,Frank Alberto Arias Ayala,Peru,South America,Infinity,Offlaner
207,Leostyle-,Leonardo Sifuentes,Peru,South America,Infinity,Solo Middle
208,Genek,Moises Asencios Santillan,Peru,South America,Infinity,Support
209,Prada,Sergio Toribio Orihuela,Peru,South America,Infinity,Support
210,Otaker,Roman Aliullov,Non-representing,Other,Into The Breach,Carry
211,MiLAN,Milan Kozomara,Bosnia and Herzegovina,Europe,Into The Breach,Coach
212,Rajjix,Roy al Rajji,Lebanon,Other,Into The Breach,Offlaner
213,Xibbe,Andreas Ragnemalm,Sweden,Europe,Into The Breach,Offlaner
214,Supream^,Ondřej Štarha,Czechia,Other,Into The Breach,Solo Middle
215,Immersion,Aleksandr Khmelevskoi,Russia,Europe,Into The Breach,Support
216,Kidaro,Ivan Bondarev,Ukraine,Europe,Into The Breach,Support
217,Slaw,Joseph Durand Cornejo,Peru,South America,Inverse,Support
218,Emo,Zhou Yi,China,China,Invictus Gaming,Carry
219,super,Su Peng,China,China,Invictus Gaming,Coach
220,Irving,Li Jian,China,China,Invictus Gaming,Offlaner
221,Dust,Zhou Shiyuan,China,China,Invictus Gaming,Solo Middle
222,qyqx,Cui Chenyang,China,China,Invictus Gaming,Support
223,poloson,Wilson Koh Chin Wei,Singapore,Southeast Asia,Invictus Gaming,Support
224,Mariachi,Vladlen Grebenkov,Russia,Europe,IP-SPORT,Carry
225,pio65,Alexandr Zalivako,Belarus,Europe,IVY,Carry
226,OwnedMe,Mathias Huynh,Denmark,Europe,IVY,Offlaner
